Microsoft (R) COFF/PE Dumper Version 14.30.30706.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file KERNEL32.DLL

File Type: DLL

  Section contains the following exports for KERNEL32.dll

    00000000 characteristics
    2C4857D3 time date stamp Sat Jul 17 15:49:39 1993
        0.00 version
           1 ordinal base
         543 number of functions
         543 number of names

    ordinal hint RVA      name

        322  141 0000FED0 LocalShrink
        323  142 0000FB50 LocalSize
        324  143 0000FA40 LocalUnlock
        325  144 0000ACA0 LockFile
        326  145 0000AD30 LockFileEx
        327  146 00011A60 LockResource
        328  147 0000B4A0 MapViewOfFile
        329  148 0000B4D0 MapViewOfFileEx
        330  149 0000BB50 MoveFileA
        331  14A 0000BB90 MoveFileExA
        332  14B 0000BC60 MoveFileExW
        333  14C 0000BB70 MoveFileW
        334  14D 0000EF40 MulDiv
        335  14E 000319E0 MultiByteToWideChar
        336  14F 00027950 OpenConsoleW
        337  150 00019B00 OpenEventA
        338  151 00019BA0 OpenEventW
        339  152 0000D220 OpenFile
        340  153 0000B360 OpenFileMappingA
        341  154 0000B400 OpenFileMappingW
        342  155 0001A060 OpenMutexA
        343  156 0001A100 OpenMutexW
        344  157 000175D0 OpenProcess
        345  158 00007710 OpenProfileUserMapping
        346  159 00019DE0 OpenSemaphoreA
        347  15A 00019E80 OpenSemaphoreW
        348  15B 00003EF0 OutputDebugStringA
        349  15C 00003E90 OutputDebugStringW
        350  15D 0002C0F0 PeekConsoleInputA
        351  15E 0002C110 PeekConsoleInputW
        352  15F 00013070 PeekNamedPipe
        353  160 00022AB0 PrepareTape
        354  161 00019CA0 PulseEvent
        355  162 0001BA30 PurgeComm
        356  163 000090E0 QueryDosDeviceA
        357  164 00009200 QueryDosDeviceW
        358  165 000157E0 QueryPerformanceCounter
        359  166 00015840 QueryPerformanceFrequency
        360  167 00008AE0 QueryWin31IniFilesMappedToRegistry
        361  168 0001A8C0 RaiseException
        362  169 00027C50 ReadConsoleA
        363  16A 0002C130 ReadConsoleInputA
        364  16B 0002C150 ReadConsoleInputW
        365  16C 0002C720 ReadConsoleOutputA
        366  16D 0002CC20 ReadConsoleOutputAttribute
        367  16E 0002CBC0 ReadConsoleOutputCharacterA
        368  16F 0002CBF0 ReadConsoleOutputCharacterW
        369  170 0002C6F0 ReadConsoleOutputW
        370  171 00027C70 ReadConsoleW
        371  172 0000A380 ReadFile
        372  173 0000AFB0 ReadFileEx
        373  174 000183F0 ReadProcessMemory
        374  175 0002B980 RegisterConsoleVDM
        375  176 00015F20 RegisterWaitForInputIdle
        376  177 0001A1A0 ReleaseMutex
        377  178 00019F20 ReleaseSemaphore
        378  179 00004E00 RemoveDirectoryA
        379  17A 00004E70 RemoveDirectoryW
        380  17B 00019C70 ResetEvent
